Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Author Keywords,Index Keywords,Funding Details,Document Type,Access Type,Source
"16450198300;","Making use of cloud computing for healthcare provision: Opportunities and challenges",2014,"International Journal of Information Management",150,"10.1016/j.ijinfomgt.2013.12.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892178040&doi=10.1016%2fj.ijinfomgt.2013.12.011&partnerID=40&md5=d50f88ebd715cb0fc139bca228708ec5","Cloud computing; e-Health; Healthcare","Cloud computing; Virtual storage; Computing paradigm; Computing services; Online delivery; Potential users; Software and hardwares; Utility computing; Virtual hardware; Virtual servers; Health care","",Article,,Scopus
"24341107000;","Energy consumption and cost-benefit analysis of hybrid and electric city buses",2014,"Transportation Research Part C: Emerging Technologies",150,"10.1016/j.trc.2013.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888071130&doi=10.1016%2fj.trc.2013.10.008&partnerID=40&md5=9bec5dfdb2b3ab73716f1aa20f61082e","Cost-benefit analysis; Electric bus; Energy efficiency; Energy storage; Hybrid bus; Vehicle simulation","Buses; Costs; Energy efficiency; Energy storage; Energy utilization; Fleet operations; Plug-in hybrid vehicles; Electric bus; Energy consumption analysis; Energy consumption and cost; Energy storage systems; Extensive simulations; Hybrid bus; Reduce energy consumption; Vehicle simulation; Cost benefit analysis; bus transport; cost-benefit analysis; energy conservation; energy efficiency; energy use",,Article,,Scopus
"56200263900;35547370900;","Getting under the hood: How and for whom does increasing course structure work?",2014,"CBE Life Sciences Education",149,"10.1187/cbe.14-03-0050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907301616&doi=10.1187%2fcbe.14-03-0050&partnerID=40&md5=e79cbeb51b79c76c4b213eec408ce571",,"ancestry group; behavior; curriculum; education; ethnic group; female; human; male; perception; problem based learning; regression analysis; student; time; university; Behavior; Continental Population Groups; Curriculum; Educational Measurement; Ethnic Groups; Female; Humans; Male; Perception; Problem-Based Learning; Regression Analysis; Students; Time Factors; Universities",,Article,Open Access,Scopus
"16241234200;7006060029;7007025186;42662433700;6603331238;","Health literacy measurement: An inventory and descriptive summary of 51 instruments",2014,"Journal of Health Communication",149,"10.1080/10810730.2014.936571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908149929&doi=10.1080%2f10810730.2014.936571&partnerID=40&md5=a1ea7974e7334cb87d3594b95a733af7",,"education; health literacy; human; procedures; psychometry; reproducibility; statistics and numerical data; Educational Measurement; Health Literacy; Humans; Psychometrics; Reproducibility of Results",,Review,,Scopus
"7801654745;36131817700;7007152823;","Mid-latitude westerlies as a driver of glacier variability in monsoonal High Asia",2014,"Nature Climate Change",149,"10.1038/nclimate2055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890917116&doi=10.1038%2fnclimate2055&partnerID=40&md5=5eef29e1cd4f500a52c40475a9c88166",,"air temperature; climate change; glacier mass balance; latitude; monsoon; numerical model; prediction; China; Qinghai-Xizang Plateau","SCHE 750/4-1, SCHE 750/4-2, SCHE 750/4-3

03G0804A

",Article,,Scopus
"56412175500;57209144650;8307988000;7201549956;55920183600;55920642200;","Development and behavioral pattern analysis of a mobile guide system with augmented reality for painting appreciation instruction in an art museum",2014,"Computers and Education",149,"10.1016/j.compedu.2013.09.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887254458&doi=10.1016%2fj.compedu.2013.09.022&partnerID=40&md5=edc2907910e7276f9a926eeddcf47a7b","Applications in subject areas; Architectures for educational technology system; Interactive learning environments; Teaching/learning strategies","Applications in subject areas; Architectures for educational technology system; Art appreciations; Behavioral patterns; Interactive learning environment; Learning effectiveness; Learning performance; Teaching/learning strategy; Augmented reality; Educational technology; Guided electromagnetic wave propagation; Students; Tracking (position); Computer aided instruction",,Article,,Scopus
"8523088800;55588539200;35107651700;8973498600;57195541085;","Gay and bisexual men's use of the internet: Research from the 1990s through 2013",2014,"Journal of Sex Research",148,"10.1080/00224499.2013.871626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899412956&doi=10.1080%2f00224499.2013.871626&partnerID=40&md5=1c62e98eaf34276f4500eb367081b1f9",,"bisexuality; history; History, 20th Century; History, 21st Century; Homosexuality, Male; Humans; Internet; Male; psychology; Research; Sexual Behavior; Social Values; United States; Bisexuality; History, 20th Century; History, 21st Century; Homosexuality, Male; Humans; Internet; Male; Research; Sexual Behavior; Social Values; United States","K01 MH087242 Bauermeister",Review,,Scopus
"36061813500;55862150000;7004593505;36459918800;6603549082;23011510400;12645309900;23466744600;6603816055;12646465800;8839237600;54403159200;","El Niño-La Niña cycle and recent trends in continental evaporation",2014,"Nature Climate Change",148,"10.1038/nclimate2068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896809814&doi=10.1038%2fnclimate2068&partnerID=40&md5=84035252f014849b8e61a88523e9e0d9",,"El Nino-Southern Oscillation; evaporation; global warming; La Nina; water flow; water stress; Africa; Australia; South America","4000106711/12/I-NB",Article,,Scopus
"16466939600;51665019100;6507071953;","Tailoring continuous word representations for dependency parsing",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",148,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906933205&partnerID=40&md5=2d7d6a96bff9f81f1562924967f28d9e",,"Dependency parsing; Embeddings; Web domains; Word representations; Computational linguistics",,Conference Paper,,Scopus
"57195934031;6603393078;","On the barriers for local government releasing open data",2014,"Government Information Quarterly",148,"10.1016/j.giq.2014.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905092655&doi=10.1016%2fj.giq.2014.01.003&partnerID=40&md5=348787dbe7758907ce76242f936780bd","Data release; Open data; Process barriers; PSI",,"2011-13-16P, 2011.006",Article,,Scopus
"24172950900;20434712200;","Power in practice: Negotiating the international intervention in Libya",2014,"European Journal of International Relations",148,"10.1177/1354066113512702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904364083&doi=10.1177%2f1354066113512702&partnerID=40&md5=641d910d99d80302178ae72c85774e00","Competence; diplomacy; emergence; Libya; power; practice theory",,"",Article,,Scopus
"6701330678;6508224672;23034845400;6602143941;6701820489;6701494488;","Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options",2014,"Weather and Climate Extremes",148,"10.1016/j.wace.2014.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902548024&doi=10.1016%2fj.wace.2014.04.004&partnerID=40&md5=7e7f199e7d51e3e3fba6406555f388c7","Climate variability; Drought; Drought risk management; Sub-Saharan Africa; Technology and policy options","climate variation; drought stress; environmental impact; malnutrition; risk assessment; social impact; vulnerability; Sub-Saharan Africa","",Article,Open Access,Scopus
"35751674400;","Journalism is twerking? How web analytics is changing the process of gatekeeping",2014,"New Media and Society",148,"10.1177/1461444814530541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901036509&doi=10.1177%2f1461444814530541&partnerID=40&md5=f8369c35c00c46b03549f9183571e076","Audience; case study; field theory; gatekeeping; journalism; journalists; online news; twerking; web analytics",,"",Article,,Scopus
"55386569300;7202085473;","An energy-efficient scheduling and speed control approach for metro rail operations",2014,"Transportation Research Part B: Methodological",148,"10.1016/j.trb.2014.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898996198&doi=10.1016%2fj.trb.2014.03.006&partnerID=40&md5=43884fe761e9a8f61e2d399245b5e2de","Energy-efficient operation; Metro rail system; Net energy consumption; Speed profile; Timetable","Energy conservation; Energy utilization; Genetic algorithms; Railroad transportation; Scheduling; Speed; Speed control; Energy efficient operations; Metro rail system; Net energy consumption; Speed profile; Timetable; Energy efficiency; energy conservation; energy efficiency; energy use; genetic algorithm; metro system; optimization; railway transport; Beijing [China]; China","NCET-13-0649

71371027, 71101007

RCS2012ZT002, 616113",Article,,Scopus
"7801364908;56006111600;","Teaching multimedia documents to LIS students",2014,"Journal of Academic Librarianship",148,"10.1016/j.acalib.2014.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898404533&doi=10.1016%2fj.acalib.2014.02.006&partnerID=40&md5=2f29b61c3f5d74e111388d2331864029","Cultural heritage; Learning; LIS curricula; Motivation; Multimedia documents; Teaching",,"III 47003",Article,,Scopus
"35316424400;6701837427;6701628495;","Skype Me! Socially Contingent Interactions Help Toddlers Learn Language",2014,"Child Development",148,"10.1111/cdev.12166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897628072&doi=10.1111%2fcdev.12166&partnerID=40&md5=1de0cdd4415c5111fb30f7a8f8461375",,"female; human; human relation; language development; learning; male; physiology; preschool child; randomization; videoconferencing; videorecording; Child, Preschool; Female; Humans; Interpersonal Relations; Language Development; Learning; Male; Random Allocation; Video Recording; Videoconferencing","5R01HD050199

BCS-0642529",Article,,Scopus
"8689752000;56397632300;56397463900;56975602800;36698938800;","Effects of land use transitions due to rapid urbanization on ecosystem services: Implications for urban planning in the new developing area of China",2014,"Habitat International",147,"10.1016/j.habitatint.2014.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908324700&doi=10.1016%2fj.habitatint.2014.10.011&partnerID=40&md5=fd1446e4522c4eba03ea56eeb2dd1470","China; Ecosystem services value; Land use transition; Tianjin Binhai New Area; Urban planning; Urbanization","ecosystem service; land use change; Landsat thematic mapper; socioeconomic conditions; sustainability; urban planning; urbanization; China; Tianjin","2014BAL01B05

41171149, 41130748",Article,,Scopus
"24339625800;7004453520;55260645000;55580822000;6506881257;55581024200;","Helping or Hovering? The Effects of Helicopter Parenting on College Students' Well-Being",2014,"Journal of Child and Family Studies",147,"10.1007/s10826-013-9716-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896718476&doi=10.1007%2fs10826-013-9716-3&partnerID=40&md5=3302764c1f0afd522e859283ef123b62","Basic psychological needs; Depression; Helicopter parenting; Satisfaction with life; Self-determination theory",,,Article,,Scopus
"20436408600;32367547600;24830690700;6602533129;","Species richness in urban parks and its drivers: A review of empirical evidence",2014,"Urban Ecosystems",147,"10.1007/s11252-013-0316-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897656783&doi=10.1007%2fs11252-013-0316-1&partnerID=40&md5=af2c629289241f53c93b6ee11fd7bf5e","Biodiversity; Exotics; Fauna; Flora; Urban ecology; Urban green space",,,Article,,Scopus
"7102802932;57205938098;","Stigma power",2014,"Social Science and Medicine",147,"10.1016/j.socscimed.2013.07.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893492754&doi=10.1016%2fj.socscimed.2013.07.035&partnerID=40&md5=eea04f356e069a8ef91047629d305a77","Health inequalities; Labeling; Mental illnesses; Stigma; Structural stigma","Health inequalities; Labeling; Mental illnesses; Stigma; Structural stigma; Adolescent; Adult; Female; Humans; Interpersonal Relations; Male; Mental Disorders; Middle Aged; Power (Psychology); Stereotyping; Young Adult","MH74996",Article,,Scopus
"55810354400;55809615000;55809479000;35610943000;7003954606;","Student ratings of teaching quality in primary school: Dimensions and prediction of student outcomes",2014,"Learning and Instruction",147,"10.1016/j.learninstruc.2013.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881021175&doi=10.1016%2fj.learninstruc.2013.07.001&partnerID=40&md5=76469449fc18b64e9a8f274ada2c87ca","Primary school; Student ratings; Teacher popularity; Teaching quality; Validity",,,Article,,Scopus
"23093410400;57198793826;57198803818;55604476400;8537001100;17342454000;35280197500;","Universal stanford dependencies: A cross-linguistic typology",2014,"Proceedings of the 9th International Conference on Language Resources and Evaluation, LREC 2014",147,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028704077&partnerID=40&md5=99a1fc7168fa692238def0a4723ddadf","Dependency grammar; Grammatical taxonomy; Stanford dependencies","De facto standard; Dependency grammar; Grammatical relations; Stanford; Taxonomies",,Conference Paper,,Scopus
"7003500040;8904992700;36775629500;37029154700;","Corporate social responsibility disclosure and the cost of equity capital: The roles of stakeholder orientation and financial transparency",2014,"Journal of Accounting and Public Policy",147,"10.1016/j.jaccpubpol.2014.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905252846&doi=10.1016%2fj.jaccpubpol.2014.04.006&partnerID=40&md5=fde73f5a9fb4cb1576d0fef7f2d16d0e",,,"71232004",Article,,Scopus
"55854309500;35619621600;6603884238;37120034900;55555551900;55793093000;24072380000;36635198300;57203257836;","Climate fails to predict wood decomposition at regional scales",2014,"Nature Climate Change",147,"10.1038/nclimate2251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903468837&doi=10.1038%2fnclimate2251&partnerID=40&md5=220b3e8d5b8f36106ada1c060b159968",,"carbon sequestration; climate effect; decomposition; environmental policy; estimation method; organic matter; regional climate; simulation; temperature effect; wood",,Article,,Scopus
"6603831111;8158357000;53664189400;","Territorial stigmatization in action",2014,"Environment and Planning A",147,"10.1068/a4606ge","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902837313&doi=10.1068%2fa4606ge&partnerID=40&md5=a68a726b05d795c1451c3a1a6d1f73db","Advanced marginality; Bourdieu; Goffman; Social strategies; Space; Spoiled identity; Symbolic power; Territorial stigmatization; Urban inequality","conceptual framework; marginalization; neighborhood; public space; resident population; social behavior; social exclusion; social impact; spatial cognition; territory; urban policy; urban society",,Article,Open Access,Scopus
"35208715600;6505868314;","The attitude-behaviour gap in sustainable tourism",2014,"Annals of Tourism Research",147,"10.1016/j.annals.2014.05.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902449186&doi=10.1016%2fj.annals.2014.05.012&partnerID=40&md5=caf7fa1bfcb7182d1318c410dc5dd54a","Cognitive dissonance theory; Environmentally sustainable tourism; Qualitative research","attitudinal survey; ecotourism; environmental impact assessment; environmental protection; qualitative analysis; research work; sustainability",,Article,,Scopus
"7006082852;33067785800;6603150788;35749150700;55829164500;55795750600;","The management of change in public organizations: A literature review",2014,"Public Administration",147,"10.1111/padm.12040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896489571&doi=10.1111%2fpadm.12040&partnerID=40&md5=c440009e89eb231ad42437fe54befa24",,"comparative study; management; organizational framework; public administration; theoretical study",,Article,,Scopus
"7202514178;7004336127;7102565996;56330166600;24177118900;7403210238;7007123148;6603058342;56735073500;8600975900;6508042285;6603940021;","Changing Work and Work-Family Conflict: Evidence from the Work, Family, and Health Network",2014,"American Sociological Review",147,"10.1177/0003122414531435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893952258&doi=10.1177%2f0003122414531435&partnerID=40&md5=966891dfcbed5f827070d11a75d830ab","experiment; group-randomized trial; organizations; schedule control; work-family conflict",,"# U01AG027669

# U01HD051217

# U01OH008788

U01HD051218

U01HD051256

U01HD051276

U01HD059773

",Article,,Scopus
"55390323200;16029748200;","The computational complexity of the restricted isometry property, the nullspace property, and related concepts in compressed sensing",2014,"IEEE Transactions on Information Theory",147,"10.1109/TIT.2013.2290112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893320476&doi=10.1109%2fTIT.2013.2290112&partnerID=40&md5=6760744c9fdbd151f7ab9ca915786b8d","Compressed sensing; computational complexity; sparse recovery conditions","Algorithms; Compressed sensing; Computational complexity; Linear systems; Signal reconstruction; Best constants; Mutual coherence; Null space; Positive integers; Restricted isometry properties; Restricted isometry properties (RIP); Sparse recovery; Underdetermined linear systems; Matrix algebra",,Article,,Scopus
"36550526700;55953406900;56042534300;7005725529;","The mechanisms of working memory capacity: Primary memory, secondary memory, and attention control",2014,"Journal of Memory and Language",146,"10.1016/j.jml.2014.01.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894372106&doi=10.1016%2fj.jml.2014.01.004&partnerID=40&md5=99426207b10e76f492502b997faca742","Attention; General fluid intelligence; Maintenance; Retrieval; Working memory capacity",,"H98230-07-D-0175

N00014-12-1-0406, N00014-12-1-1011",Article,,Scopus
"8987378300;","Dynamic governance interactions: Evolutionary effects of state responses to non-state certification programs",2014,"Regulation and Governance",146,"10.1111/rego.12005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895121530&doi=10.1111%2frego.12005&partnerID=40&md5=af76b2f9210370ede69d5e4091cd4f27","Co-regulation; Fisheries certification; Forest certification; Governance interactions; Private authority",,,Article,,Scopus
"7402972576;7402293139;55954035600;7102436880;35596106000;15050754100;35551973000;","Noninfluenza vaccination coverage among adults - United States, 2012",2014,"Morbidity and Mortality Weekly Report",146,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893545834&partnerID=40&md5=8e32ad1c3f9237b3ec38d6d63afe6c73",,"diphtheria pertussis tetanus vaccine; hepatitis vaccine; varicella zoster vaccine; Wart virus vaccine; adult; aged; female; hepatitis A; hepatitis B; herpes zoster; human; male; middle aged; note; papilloma; tetanus; United States; utilization review; vaccination; young adult; Adult; Aged; Diphtheria-Tetanus-acellular Pertussis Vaccines; Female; Hepatitis A; Hepatitis B; Herpes Zoster; Herpes Zoster Vaccine; Humans; Male; Middle Aged; Papilloma; Papillomavirus Vaccines; Tetanus; United States; Vaccination; Viral Hepatitis Vaccines; Young Adult",,Note,,Scopus
"23003275100;35499331700;","Human - Agent teaming for multirobot control: A review of human factors issues",2014,"IEEE Transactions on Human-Machine Systems",146,"10.1109/THMS.2013.2293535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893032578&doi=10.1109%2fTHMS.2013.2293535&partnerID=40&md5=db48b6da3850f8302b3f34958fb1d3ea","Automation; Human factors; Human-agent (H-A) teaming; Human-robot interaction; Individual differences; Intelligent agent; Situation awareness; Trust; User interface design","Human agent; Individual Differences; Situation awareness; Trust; User interface designs; Automation; Autonomous agents; Human computer interaction; Human engineering; Industrial robots; Intelligent agents; Intelligent systems; User interfaces; Robotics",,Article,,Scopus
"55627631100;","Student perceptions toward flipped learning: New methods to increase interaction and active learning in economics",2014,"International Review of Economics Education",146,"10.1016/j.iree.2014.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915774489&doi=10.1016%2fj.iree.2014.08.003&partnerID=40&md5=015584de10c70446aa6d310a5752ee1c","Active learning; Flipped learning",,"",Article,,Scopus
"24481408100;","Green Militarization: Anti-Poaching Efforts and the Spatial Contours of Kruger National Park",2014,"Annals of the Association of American Geographers",146,"10.1080/00045608.2014.912545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903470629&doi=10.1080%2f00045608.2014.912545&partnerID=40&md5=cfc4244404dc8c5ef0a0a3768b83ebc3","conservation; militarization; sovereignty; violence; wildlife crime/poaching","conservation management; crime; heritage conservation; military government; protected area; sovereignty; violence; Kruger National Park; South Africa","",Article,Open Access,Scopus
"55652382900;56198675800;24175588700;56198699500;7201764447;57201573421;","Contribution of ecosystem services to air quality and climate change mitigation policies: The case of urban forests in Barcelona, Spain",2014,"Ambio",146,"10.1007/s13280-014-0507-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902116075&doi=10.1007%2fs13280-014-0507-x&partnerID=40&md5=338b28eac089ceeb6b27da65537a52c6","Air purification; Cities; Climate regulation; Policy targets; Urban ecosystem services; Urban forests","air quality; biogenic emission; climate change; ecosystem service; environmental policy; greenhouse gas; pollution control; purification; service provision; urban ecosystem; urban forestry; urban pollution; Barcelona [Catalonia]; Catalonia; Spain; air pollution; article; city; climate change; ecosystem; environmental aspects and related phenomena; forestry; physiology; Spain; tree; Air Pollution; Cities; Climate Change; Ecological and Environmental Processes; Ecosystem; Forestry; Spain; Trees",,Article,Open Access,Scopus
"24175974400;","Decentralization and Governance",2014,"World Development",146,"10.1016/j.worlddev.2013.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885069499&doi=10.1016%2fj.worlddev.2013.01.002&partnerID=40&md5=0dcdeaeae72cd3708ace110d027cc3c5","Accountability; Health; Instability; Limits on power; Local government; Political competition","accountability; decentralization; governance approach; local government; political development; political instability","",Article,,Scopus
"9332860200;","Teaching foreign languages in an era of globalization: Introduction",2014,"Modern Language Journal",145,"10.1111/j.1540-4781.2014.12057.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894039759&doi=10.1111%2fj.1540-4781.2014.12057.x&partnerID=40&md5=5f390525b32078e89726392fe848c9fc","Communicative competence; Complexity; Globalization; Multilingualism; Reflexivity; Symbolic competence",,,Article,,Scopus
"23393480100;57193197709;","This one does not go up to 11: The quantified self movement as an alternative big data practice",2014,"International Journal of Communication",145,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011582886&partnerID=40&md5=7b38000022f61311396eac58f0e8d90b",,,,Article,,Scopus
"37070573500;8381619100;55651936200;8769397600;","Protein tyrosine phosphatases as potential therapeutic targets",2014,"Development (Basingstoke)",145,"10.1038/aps.2014.80","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908133543&doi=10.1038%2faps.2014.80&partnerID=40&md5=29094c60045f77a45845f3c82b10047b","CD45 antigen; CDC25; drug target; Fas associated phosphatase-1; low molecular weight PTPs; lymphoid-specific tyrosine phosphatase; mitogen-activated protein kinase phosphatases; phosphatases of regenerating liver-1; protein tyrosine phosphatases; PTP1B; Src homology phosphotyrosyl phosphatase 2; striatal enriched tyrosine phosphatases","amino acid; antigen; drug; phosphatase; protein; protein kinase inhibitor; protein tyrosine phosphatase; animal; antagonists and inhibitors; drug development; drug effects; human; metabolism; phosphorylation; procedures; Animals; Drug Discovery; Humans; Phosphorylation; Protein Kinase Inhibitors; Protein Tyrosine Phosphatases","CA69202 and CA126937",Review,Open Access,Scopus
"7202175307;16551413800;7004470576;","Interpolating U.S. Decennial Census Tract Data from as Early as 1970 to 2010: A Longitudinal Tract Database",2014,"Professional Geographer",145,"10.1080/00330124.2014.905156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902359112&doi=10.1080%2f00330124.2014.905156&partnerID=40&md5=fef88b953d1851b4256fc2be52aeac67","2010 Census; areal interpolation; census geography; census tract; population interpolation","areal interpolation; census; database; population decline; population growth; United States","5R24HD041020, 5T32HD007338",Article,,Scopus
"7003751965;7003323040;7003538741;52164312300;35856754800;55915122000;","Revised surveillance case definition for HIV infection - United States, 2014",2014,"MMWR Recommendations and Reports",145,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900529296&partnerID=40&md5=a311bc1d1df4ceef2b6967a8f305a54d",,,,Article,,Scopus
"55233477400;56122870100;56121456500;56547580000;7406335711;","Studies of outdoor thermal comfort in northern China",2014,"Building and Environment",145,"10.1016/j.buildenv.2014.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899022178&doi=10.1016%2fj.buildenv.2014.03.026&partnerID=40&md5=33d57bcf64660aa82083c57f487435c1","Cold climate; Outdoor spaces; Thermal comfort; Thermal index; Thermal sensation","Atmospheric temperature; Patient monitoring; Sensory perception; Solar radiation; Sun; Wind; Cold climate; Outdoor space; Outdoor thermal comfort; Outdoor thermal environment; Physiological equivalent temperatures; Predicted mean vote; Thermal index; Thermal sensations; Thermal comfort; air temperature; climate conditions; cold air; index method; microclimate; open space; preference behavior; public space; relative humidity; solar radiation; ventilation; wind velocity; China; Tianjin","",Article,,Scopus
"7005756764;25651777400;14325514400;","A re-examination of neural basis of language processing: Proposal of a dynamic hodotopical model from data provided by brain stimulation mapping during picture naming",2014,"Brain and Language",145,"10.1016/j.bandl.2013.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898898853&doi=10.1016%2fj.bandl.2013.05.011&partnerID=40&md5=04dc15ddb811d68a24cf1ee462a5ea65","Anatomo-functional connectivity; Awake surgery; Axonal pathways; Brain networks; Brain plasticity; Direct electrical stimulation; Hodotopy; Language","aphasia; brain; brain mapping; comprehension; human; language; nerve tract; pathology; pathophysiology; pattern recognition; photostimulation; physiology; psychological model; psychology; semantics; wakefulness; Aphasia; Brain; Brain Mapping; Comprehension; Humans; Language; Models, Psychological; Neural Pathways; Pattern Recognition, Visual; Photic Stimulation; Semantics; Wakefulness",,Article,,Scopus
"7202690534;6506575232;37026011600;56112754000;","Detecting meaning in RSVP at 13 ms per picture",2014,"Attention, Perception, and Psychophysics",145,"10.3758/s13414-013-0605-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898486782&doi=10.3758%2fs13414-013-0605-z&partnerID=40&md5=8e35d74de4222f2077c3967241764dba","Attentional set; Conceptual processing; Conscious perception; Feedforward processing; Picture perception","adolescent; adult; analysis of variance; article; attention; comparative study; concept formation; eye fixation; female; human; male; pattern recognition; physiology; young adult; Adolescent; Adult; Analysis of Variance; Attention; Concept Formation; Female; Fixation, Ocular; Humans; Male; Pattern Recognition, Visual; Young Adult","MH47432",Article,,Scopus
"8774260500;36860439400;14012131700;11840161200;6602083649;","A meta-analysis of blended learning and technology use in higher education: From the general to the applied",2014,"Journal of Computing in Higher Education",144,"10.1007/s12528-013-9077-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897820241&doi=10.1007%2fs12528-013-9077-3&partnerID=40&md5=39e7f33204876fc085666a26c448f0e3","Bended learning; Higher education; Meta-analysis; Technology use",,,Article,,Scopus
"55372389900;7004079669;","Independent effects of bilingualism and socioeconomic status on language ability and executive functioning",2014,"Cognition",144,"10.1016/j.cognition.2013.11.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891141326&doi=10.1016%2fj.cognition.2013.11.015&partnerID=40&md5=e2293db3946fca928e62491a68344948","Bilingualism; Executive functioning; Language ability; Socioeconomic status","article; attention; bilingualism; child; controlled study; executive function; female; human; human experiment; inhibition (psychology); intelligence; intelligence test; language ability; language test; linguistics; male; mental performance; mental task; nonverbal communication; normal human; preschool child; priority journal; school child; selective attention; social status; executive function; language; multilingualism; physiology; psychomotor performance; social class; Child; Executive Function; Female; Humans; Language; Male; Multilingualism; Psychomotor Performance; Social Class","R01HD052523",Article,,Scopus
"23489332300;57209033697;6603190408;34979855500;35774336000;34980000800;19640587600;7003383505;10041161500;36179808600;36515639800;6507774821;6701740785;24167872300;37099728600;7005727609;55513156500;13605937800;8914988100;25654072100;7004087500;7006824383;7103147367;15131595500;35378880500;56279281900;15122252300;23986302700;23986701500;56234961000;7004355974;6603713260;","Cognitive mechanisms underlying reading and spelling development in five European orthographies",2014,"Learning and Instruction",144,"10.1016/j.learninstruc.2013.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884547321&doi=10.1016%2fj.learninstruc.2013.09.003&partnerID=40&md5=6887ec98c145b507d89ae0eb10fc6f52","Cross-linguistic; Orthographic consistency; Phonological awareness; Rapid automatized naming; Reading development",,"18351-B02

32-108130

213486",Article,,Scopus
"26531018100;50261047100;8724502300;7003488009;10839842900;","Smart grids, smart users? the role of the user in demand side management",2014,"Energy Research and Social Science",144,"10.1016/j.erss.2014.04.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904624328&doi=10.1016%2fj.erss.2014.04.008&partnerID=40&md5=b11bd94ffc66b497b5158dba8e463dab","Domestic; DSM; Energy citizenship; Smart grid",,"EP/G065802/1

EP/I000496/1

",Article,Open Access,Scopus
"7202677655;55799600200;","Applications, impacts and trends of mobile technology-enhanced learning: A review of 2008-2012 publications in selected SSCI journals",2014,"International Journal of Mobile Learning and Organisation",144,"10.1504/IJMLO.2014.062346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902146458&doi=10.1504%2fIJMLO.2014.062346&partnerID=40&md5=7d390df9ad93afeb7310c6179094c5b0","Mobile learning; Research trend; research issues; Seamless learning; Technology-enhanced learning; Ubiquitous learning",,,Article,,Scopus
