Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
897;17857;"Journal of the Medical Library Association : JMLA";journal;"15365050, 15589439";0,746;Q1;57;57;193;1122;211;160;1,34;19,68;United States;Northern America;"Medical Library Association";"1999-2020";"Health Informatics (Q1); Library and Information Sciences (Q1); Medicine (miscellaneous) (Q2)"
898;25587;"Pacific Economic Review";journal;"1361374X, 14680106";0,746;Q1;31;33;121;890;105;115;0,78;26,97;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Aerospace Engineering (Q1); Development (Q1); Geography, Planning and Development (Q1); Economics and Econometrics (Q2)"
899;28835;"Nursing Education Perspectives";journal;"15365026";0,745;Q1;45;95;288;1230;322;233;1,13;12,95;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2002-2020";"Education (Q1); Nursing (miscellaneous) (Q1); Medicine (miscellaneous) (Q2)"
900;22695;"Remedial and Special Education";journal;"15384756, 07419325";0,745;Q1;61;33;123;1391;214;115;1,71;42,15;United States;Northern America;"SAGE Publications Inc.";"1984-2020";"Education (Q1); Public Health, Environmental and Occupational Health (Q2)"
901;5000154401;"Archaeological Prospection";journal;"10990763, 10752196";0,743;Q1;36;25;74;775;138;71;1,84;31,00;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1994-2020";"Archeology (Q1); History (Q1)"
902;12100;"British Journal of Educational Studies";journal;"00071005, 14678527";0,743;Q1;45;25;75;1295;106;69;1,36;51,80;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1952-2020";"Education (Q1)"
903;14193;"Education Policy Analysis Archives";journal;"10682341";0,743;Q1;44;88;111;4373;106;111;0,75;49,69;United States;Northern America;"Arizona State University";"1996-2020";"Education (Q1)"
904;19553;"Journal of Applied Communication Research";journal;"14795752, 00909882";0,743;Q1;54;25;77;1042;126;76;1,34;41,68;United Kingdom;Western Europe;"Routledge";"1973-2020";"Communication (Q1); Language and Linguistics (Q1)"
905;19600161828;"Public Transport";journal;"16137159, 1866749X";0,743;Q2;24;18;37;479;42;33;1,33;26,61;Germany;Western Europe;"Springer Verlag";"2009-2020";"Information Systems (Q1); Mechanical Engineering (Q1); Management Science and Operations Research (Q2); Transportation (Q2)"
906;21100201987;"Southern African Humanities";journal;"16815564";0,743;Q1;17;11;21;623;28;21;1,33;56,64;South Africa;Africa;"KwaZulu-Natal Museum";"2008-2017";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)"
907;12860;"Compare";journal;"14693623, 03057925";0,742;Q1;35;45;175;1988;205;140;1,19;44,18;United Kingdom;Western Europe;"Routledge";"1975-2020";"Education (Q1)"
908;28507;"Survival";journal;"00396338, 14682699";0,742;Q1;45;87;252;2460;286;229;1,12;28,28;United Kingdom;Western Europe;"Routledge";"1959-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
909;13351;"American Historical Review";journal;"00028762, 19375239";0,741;Q1;60;34;145;5384;204;90;2,72;158,35;United States;Northern America;"Oxford University Press";"1970-1974, 1977-1979, 1981, 1984-1987, 1990-2019";"Archeology (Q1); History (Q1); Museology (Q1)"
910;30715;"Annals of Regional Science";journal;"05701864, 14320592";0,741;Q1;59;88;218;3546;317;210;1,25;40,30;Germany;Western Europe;"Springer Verlag";"1967-2020";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
911;17100154740;"Counselor Education and Supervision";journal;"00110035, 15566978";0,741;Q1;37;21;57;784;99;55;0,87;37,33;United States;Northern America;"Wiley-Blackwell";"1961-2020";"Education (Q1); Clinical Psychology (Q2); Developmental and Educational Psychology (Q2)"
912;145598;"European Journal of International Law";journal;"09385428, 14643596";0,741;Q1;56;64;164;3221;286;142;1,74;50,33;United Kingdom;Western Europe;"Oxford University Press";"2005-2019";"Law (Q1); Political Science and International Relations (Q1)"
913;23646;"Journal of Science Education and Technology";journal;"10590145, 15731839";0,741;Q1;56;75;192;3494;299;188;1,46;46,59;Netherlands;Western Europe;"Springer Netherlands";"1992-2002, 2004-2020";"Education (Q1); Engineering (miscellaneous) (Q1)"
914;19600166326;"Mindfulness";journal;"18688535, 18688527";0,740;Q1;50;51;104;2071;229;99;1,97;40,61;Germany;Western Europe;"Springer Verlag";"2010-2020";"Health (social science) (Q1); Applied Psychology (Q2); Developmental and Educational Psychology (Q2); Social Psychology (Q2); Experimental and Cognitive Psychology (Q3)"
915;5200152840;"Intellectual and Developmental Disabilities";journal;"19349491, 19349556";0,739;Q1;60;47;150;1762;232;119;1,82;37,49;United States;Northern America;"American Association on Intellectual and Developmental Disabilities";"2007-2020";"Community and Home Care (Q1); Education (Q1); Developmental and Educational Psychology (Q2); Pediatrics, Perinatology and Child Health (Q2); Psychiatry and Mental Health (Q2)"
916;17600155423;"International Journal of Transitional Justice, The";journal;"17527724, 17527716";0,739;Q1;23;26;55;1634;98;48;2,04;62,85;United Kingdom;Western Europe;"Oxford University Press";"2011-2020";"Law (Q1)"
917;22197;"PS - Political Science and Politics";journal;"10490965, 15375935";0,739;Q1;57;133;325;2782;263;315;0,89;20,92;United Kingdom;Western Europe;"Cambridge University Press";"1968-2020";"Sociology and Political Science (Q1)"
918;13523;"Early Education and Development";journal;"15566935, 10409289";0,738;Q1;57;68;137;3952;195;132;1,13;58,12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2020";"Education (Q1); Developmental and Educational Psychology (Q2)"
919;5800175970;"Leadership";journal;"17427150, 17427169";0,737;Q1;41;28;75;1846;144;73;1,54;65,93;United States;Northern America;"SAGE Publications Ltd";"2005-2020";"Sociology and Political Science (Q1); Strategy and Management (Q1)"
920;29139;"Public Relations Review";journal;"03638111";0,737;Q1;75;102;299;2904;479;295;1,32;28,47;United States;Northern America;"Elsevier BV";"1975-2020";"Communication (Q1); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2)"
921;100147030;"Current Sociology";journal;"00113921, 14617064";0,734;Q1;59;59;148;3573;245;139;1,87;60,56;United Kingdom;Western Europe;"SAGE Publications Ltd";"1952-1965, 1967-1969, 1972-1984, 1986-2020";"Sociology and Political Science (Q1)"
922;144953;"Journal of Educational Change";journal;"13892843";0,734;Q1;33;21;62;1243;100;62;1,40;59,19;Netherlands;Western Europe;"Springer Netherlands";"2005-2020";"Education (Q1)"
923;16772;"Canadian Journal of Political Science";journal;"17449324, 00084239";0,733;Q1;36;38;113;1995;114;111;0,61;52,50;United Kingdom;Western Europe;"Cambridge University Press";"1968-2020";"Sociology and Political Science (Q1)"
924;24472;"Children and Society";journal;"09510605, 10990860";0,733;Q1;54;41;134;1505;242;118;1,76;36,71;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2020";"Education (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Social Work (Q1)"
925;19700169951;"International Journal of Testing";journal;"15305058, 15327574";0,733;Q1;17;23;60;741;78;60;0,85;32,22;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q1); Modeling and Simulation (Q2); Social Psychology (Q2)"
926;14027;"Psychology, Crime and Law";journal;"14772744, 1068316X";0,733;Q1;56;55;145;2485;236;140;1,73;45,18;United Kingdom;Western Europe;"Routledge";"1994-2020";"Law (Q1); Pathology and Forensic Medicine (Q2); Psychology (miscellaneous) (Q2)"
927;19700167025;"Spatial and Spatio-temporal Epidemiology";journal;"18775845, 18775853";0,733;Q1;24;22;82;935;114;74;1,43;42,50;United Kingdom;Western Europe;"Elsevier Ltd.";"2009-2020";"Geography, Planning and Development (Q1); Health, Toxicology and Mutagenesis (Q2); Infectious Diseases (Q2); Epidemiology (Q3)"
928;4700152770;"Cataloging and Classification Quarterly";journal;"01639374, 0898008X";0,732;Q1;23;52;143;1674;125;130;1,12;32,19;United States;Northern America;"Routledge";"1981-2020";"Library and Information Sciences (Q1)"
929;24214;"Journal of Asian Studies";journal;"00219118";0,732;Q1;45;42;135;1972;145;114;1,04;46,95;United Kingdom;Western Europe;"Cambridge University Press";"1941-2020";"Cultural Studies (Q1); History (Q1)"
930;200147108;"Distance Education";journal;"14750198, 01587919";0,731;Q1;48;28;89;1089;160;66;2,00;38,89;United Kingdom;Western Europe;"Routledge";"1980-2020";"Education (Q1); E-learning (Q1)"
931;25158;"Global Governance";journal;"10752846, 19426720";0,731;Q1;52;35;96;2421;163;79;2,02;69,17;United States;Northern America;"Brill Academic Publishers";"1996-2019";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1); Environmental Science (miscellaneous) (Q2)"
932;17600155502;"Journal of Computing in Higher Education";journal;"10421726, 18671233";0,731;Q1;31;9;38;428;57;36;1,83;47,56;United States;Northern America;"Springer US";"1989-2020";"Education (Q1)"
933;16300154717;"Journal of African Archaeology";journal;"16121651";0,729;Q1;24;6;39;413;42;30;1,05;68,83;Germany;Western Europe;"Africa Magna Verlag";"2003-2019";"Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1); Visual Arts and Performing Arts (Q1)"
934;13000154735;"Linguistics and Language Compass";journal;"1749818X";0,729;Q1;39;41;185;2462;208;183;1,00;60,05;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Linguistics and Language (Q1)"
935;12400154713;"Geospatial health";journal;"19707096, 18271987";0,728;Q1;33;66;91;2336;182;86;1,71;35,39;Italy;Western Europe;"University of Naples Federico II";"2006-2019";"Geography, Planning and Development (Q1); Health (social science) (Q1); Health Policy (Q2); Medicine (miscellaneous) (Q2)"
936;29553;"Journal of Gerontological Social Work";journal;"15404048, 01634372";0,728;Q1;40;44;154;1570;178;132;1,13;35,68;United States;Northern America;"Routledge";"1978-2020";"Nursing (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
937;23465;"China Quarterly";journal;"03057410, 14682648";0,727;Q1;80;45;121;1876;232;116;1,88;41,69;United Kingdom;Western Europe;"Cambridge University Press";"1960-2020";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
938;21255;"Feminist Economics";journal;"14664372, 13545701";0,727;Q1;52;35;80;1605;161;77;1,96;45,86;United Kingdom;Western Europe;"Routledge";"1995-2020";"Arts and Humanities (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q1); Gender Studies (Q1); Economics and Econometrics (Q2)"
939;5700164218;"International Relations";journal;"17412862, 00471178";0,727;Q1;36;29;75;2443;100;74;0,98;84,24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1957-1965, 1967-1972, 1975-2020";"Political Science and International Relations (Q1)"
940;15564;"Journal of Language and Social Psychology";journal;"15526526, 0261927X";0,726;Q1;48;19;86;697;227;85;1,10;36,68;United States;Northern America;"SAGE Publications Inc.";"1982-2020";"Anthropology (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)"
941;17600155057;"Living Reviews in Landscape Research";journal;"18637329";0,724;Q1;9;0;8;0;30;8;4,75;0,00;Germany;Western Europe;"Leibniz Centre for Agricultural Landscape Research (ZALF)";"2009-2012, 2014";"Geography, Planning and Development (Q1); Ecology (Q2); Management, Monitoring, Policy and Law (Q2); Nature and Landscape Conservation (Q2)"
942;5700164350;"Social Theory and Health";journal;"14778211, 1477822X";0,724;Q1;30;25;66;1310;106;63;1,56;52,40;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2003-2020";"Health (social science) (Q1); Sociology and Political Science (Q1)"
943;14768;"Hispanic Journal of Behavioral Sciences";journal;"15526364, 07399863";0,722;Q1;59;29;89;1202;135;87;0,86;41,45;United States;Northern America;"SAGE Publications Inc.";"1979-2020";"Anthropology (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Social Psychology (Q2)"
944;15879;"Journal of Continuing Education in the Health Professions";journal;"08941912, 1554558X";0,722;Q1;53;45;131;1569;201;111;1,62;34,87;United States;Northern America;"John Wiley and Sons Inc.";"1988-2020";"Education (Q1); E-learning (Q1); Medicine (miscellaneous) (Q2)"
945;12100155627;"Trends in Organized Crime";journal;"10844791, 19364830";0,722;Q1;21;21;45;1027;59;43;1,45;48,90;United States;Northern America;"Springer US";"1995-2002, 2004-2020";"Law (Q1)"
946;5800207702;"Interaction Studies";journal;"15720381, 15720373";0,721;Q1;35;25;84;901;120;79;1,70;36,04;Netherlands;Western Europe;"John Benjamins Publishing Company";"2004-2020";"Animal Science and Zoology (Q1); Communication (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Human-Computer Interaction (Q2)"
947;23369;"Journal of Environmental Law";journal;"1464374X, 09528873";0,721;Q1;27;26;63;2298;109;61;1,64;88,38;United Kingdom;Western Europe;"Oxford University Press";"1989-2019";"Law (Q1); Management, Monitoring, Policy and Law (Q2)"
948;4400151518;"Physical Review Special Topics - Physics Education Research";journal;"15549178";0,721;Q1;41;46;114;1978;233;108;1,92;43,00;United States;Northern America;"American Physical Society";"2005-2015";"Education (Q1); Physics and Astronomy (miscellaneous) (Q2)"
949;5000155401;"Journal of Disability Policy Studies";journal;"10442073";0,720;Q1;34;23;67;1054;96;67;1,45;45,83;United States;Northern America;"SAGE Publications Inc.";"1990-2020";"Health (social science) (Q1); Law (Q1)"
950;28831;"Public Culture";journal;"15278018, 08992363";0,720;Q1;72;29;92;809;137;78;1,75;27,90;United States;Northern America;"Duke University Press";"1996-2019";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Social Psychology (Q2)"
951;25330;"Rationality and Society";journal;"14617358, 10434631";0,720;Q1;44;16;56;900;57;54;0,74;56,25;United Kingdom;Western Europe;"SAGE Publications Ltd";"1989-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
952;21100202110;"Environmental Development";journal;"22114645";0,719;Q1;27;52;47;1494;83;37;2,24;28,73;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2)"
953;20000195019;"International Journal of the Commons";journal;"18750281";0,719;Q1;23;25;43;1627;83;40;2,08;65,08;United States;Northern America;"International Association for the Study of the Commons";"2011-2020";"Sociology and Political Science (Q1)"
954;17800156703;"Journal of Empirical Research on Human Research Ethics";journal;"15562646, 15562654";0,719;Q1;26;45;125;1297;193;112;1,40;28,82;United States;Northern America;"SAGE Publications Inc.";"2009-2020";"Communication (Q1); Education (Q1); Law (Q1); Medicine (miscellaneous) (Q2); Social Psychology (Q2)"
955;5700166815;"Sexuality Research and Social Policy";journal;"15536610, 18689884";0,719;Q1;32;31;98;1391;172;94;1,80;44,87;United States;Northern America;"Springer New York";"2005, 2009-2020";"Gender Studies (Q1); Health (social science) (Q1); Sociology and Political Science (Q1)"
956;5800208102;"Corpus Linguistics and Linguistic Theory";journal;"16137027";0,718;Q1;22;8;34;410;47;34;1,54;51,25;Germany;Western Europe;"De Gruyter Mouton";"2005-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1)"
957;5700164354;"Popular Communication";journal;"15405702, 15405710";0,718;Q1;17;24;74;977;89;70;1,42;40,71;United Kingdom;Western Europe;"Routledge";"2010-2020";"Communication (Q1)"
958;91941;"World Archaeology";journal;"14701375, 00438243";0,716;Q1;65;47;127;2821;191;122;1,21;60,02;United Kingdom;Western Europe;"Routledge";"1969-2020";"Archeology (Q1); Archeology (arts and humanities) (Q1); Earth and Planetary Sciences (miscellaneous) (Q1)"
959;21100805777;"Information and Learning Science";journal;"23985348";0,715;Q1;27;56;164;1099;153;148;1,00;19,63;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2020";"Education (Q1); Library and Information Sciences (Q1); Computer Science Applications (Q2)"
960;21100286805;"PalArch's Journal of Archaeology of Egypt/ Egyptology";journal;"1567214X";0,715;Q1;1;1;1;17;1;1;1,00;17,00;Netherlands;Western Europe;"PalArch Foundation";"2012-2013, 2015, 2017, 2019";"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1)"
961;200147101;"Studies in Conflict and Terrorism";journal;"1057610X";0,715;Q1;46;53;159;5260;198;158;0,96;99,25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1); Safety, Risk, Reliability and Quality (Q2)"
962;25847;"International Studies Perspectives";journal;"15283577, 15283585";0,714;Q1;43;35;82;1528;118;76;1,04;43,66;United Kingdom;Western Europe;"Oxford University Press";"2000-2019";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
963;28180;"Journal of Advertising Research";journal;"00218499, 17401909";0,714;Q1;81;52;158;1344;192;131;1,48;25,85;United Kingdom;Western Europe;"The Advertising Research Foundation";"1972, 1996-2020";"Communication (Q1); Marketing (Q2)"
964;13279;"European Planning Studies";journal;"09654313, 14695944";0,713;Q1;75;108;304;6064;543;299;1,58;56,15;United Kingdom;Western Europe;"Routledge";"1993-2020";"Geography, Planning and Development (Q1)"
965;25057;"Mathematical Social Sciences";journal;"01654896";0,713;Q1;35;78;186;1675;136;181;0,73;21,47;Netherlands;Western Europe;"Elsevier";"1980-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2); Statistics, Probability and Uncertainty (Q3)"
966;16100154793;"International Journal of Music Education";journal;"1744795X, 02557614";0,712;Q1;25;33;83;1098;81;73;0,86;33,27;United States;Northern America;"SAGE Publications Ltd";"1996-2020";"Education (Q1); Music (Q1)"
967;24034;"Democratization";journal;"13510347, 1743890X";0,711;Q1;49;59;147;3497;233;142;1,63;59,27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2020";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
968;24734;"American Journal of Evaluation";journal;"10982140";0,710;Q1;51;46;122;1146;207;113;1,37;24,91;United States;Northern America;"SAGE Publications Inc.";"1981-2020";"Business and International Management (Q1); Education (Q1); Health (social science) (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1); Social Psychology (Q2)"
969;24052;"College Composition and Communication";journal;"0010096X";0,710;Q1;33;38;78;723;80;61;1,48;19,03;United States;Northern America;"National Council of Teachers of English";"2004-2019";"Education (Q1); Language and Linguistics (Q1); Literature and Literary Theory (Q1)"
970;147221;"Journal of Social Archaeology";journal;"14696053";0,710;Q1;33;18;55;1304;74;47;1,27;72,44;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Archeology (Q1); Arts and Humanities (miscellaneous) (Q1)"
971;27446;"Youth and Society";journal;"15528499, 0044118X";0,710;Q1;60;35;114;1483;218;113;1,71;42,37;United States;Northern America;"SAGE Publications Inc.";"1969-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
972;19700188330;"Communication and Critical/ Cultural Studies";journal;"14791420, 14794233";0,709;Q1;17;41;91;912;90;87;0,68;22,24;United States;Northern America;"Routledge";"2010-2020";"Communication (Q1); Cultural Studies (Q1)"
973;300147001;"European Journal of Social Theory";journal;"13684310";0,709;Q1;56;30;91;1701;153;83;1,23;56,70;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2020";"Sociology and Political Science (Q1)"
974;26163;"Western Journal of Communication";journal;"10570314";0,709;Q1;41;41;92;1664;91;87;0,87;40,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Communication (Q1); Language and Linguistics (Q1)"
975;12809;"Journal of Educational Research";journal;"19400675, 00220671";0,708;Q1;71;40;96;1953;141;90;1,27;48,83;United States;Northern America;"Routledge";"1920-2020";"Education (Q1)"
976;15877;"Journal of Community Health";journal;"00945145, 15733610";0,707;Q1;59;151;386;4842;710;375;1,92;32,07;Netherlands;Western Europe;"Springer Netherlands";"1975-2020";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q2)"
977;6400153111;"Journal of Ethnobiology and Ethnomedicine";journal;"17464269";0,707;Q1;61;83;128;4761;409;127;2,89;57,36;United Kingdom;Western Europe;"BioMed Central Ltd.";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Complementary and Alternative Medicine (Q1); Cultural Studies (Q1); Health (social science) (Q1)"
978;24827;"Journal of Philosophy of Education";journal;"14679752, 03098249";0,707;Q1;38;43;119;1133;94;99;0,96;26,35;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2020";"Education (Q1); History (Q1); Philosophy (Q1)"
979;200147111;"International Journal of Qualitative Studies in Education";journal;"09518398";0,706;Q1;53;82;177;3570;212;168;0,68;43,54;United Kingdom;Western Europe;"Routledge";"1988-2020";"Education (Q1)"
980;29972;"Journal of Homosexuality";journal;"15403602, 00918369";0,706;Q1;70;83;221;3706;346;214;1,45;44,65;United States;Northern America;"Routledge";"1974, 1976-2020";"Education (Q1); Gender Studies (Q1); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Social Psychology (Q2)"
981;12125;"Behaviour and Information Technology";journal;"13623001, 0144929X";0,705;Q1;71;111;214;5303;409;193;1,72;47,77;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1982-2020";"Social Sciences (miscellaneous) (Q1); Arts and Humanities (miscellaneous) (Q2); Developmental and Educational Psychology (Q2); Human-Computer Interaction (Q2)"
982;145757;"Chemistry Education Research and Practice";journal;"11094028";0,705;Q1;40;53;137;2602;240;132;1,64;49,09;Greece;Western Europe;"Ioannina University School of Medicine";"2005-2020";"Education (Q1); Chemistry (miscellaneous) (Q2)"
983;6300153120;"Educational Management Administration and Leadership";journal;"17411440, 17411432";0,705;Q1;40;63;146;3004;165;124;1,20;47,68;United Kingdom;Western Europe;"SAGE Publications Ltd";"1972-1993, 1995-1999, 2003-2020";"Education (Q1); Strategy and Management (Q1)"
984;5700162931;"Journal of Social Work";journal;"14680173";0,705;Q1;33;35;81;1814;115;77;1,32;51,83;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2020";"Health (social science) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)"
985;25822;"Society and Natural Resources";journal;"08941920, 15210723";0,704;Q1;82;106;284;4253;472;279;1,34;40,12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2020";"Development (Q1); Sociology and Political Science (Q1); Environmental Science (miscellaneous) (Q2)"
986;100147301;"CESifo Economic Studies";journal;"1610241X, 16127501";0,703;Q1;25;29;78;1119;76;77;0,87;38,59;United Kingdom;Western Europe;"Oxford University Press";"2005-2019";"Geography, Planning and Development (Q1); Economics and Econometrics (Q2)"
987;19727;"Educational Policy";journal;"08959048";0,703;Q1;47;33;103;1722;99;102;0,82;52,18;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Education (Q1)"
988;26288;"Journal of Latin American Studies";journal;"0022216X, 1469767X";0,703;Q1;41;21;60;2530;75;60;0,75;120,48;United Kingdom;Western Europe;"Cambridge University Press";"1969-2020";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Arts and Humanities (miscellaneous) (Q2)"
989;13457;"Learning and Motivation";journal;"00239690, 10959122";0,703;Q1;42;30;79;1084;92;74;1,31;36,13;United States;Northern America;"Academic Press Inc.";"1970-2020";"Education (Q1); Developmental and Educational Psychology (Q2); Health (social science) (Q2); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3)"
990;4500151528;"Urban Water Journal";journal;"17449006, 1573062X";0,703;Q1;37;36;91;1299;154;91;1,13;36,08;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2020";"Geography, Planning and Development (Q1); Water Science and Technology (Q1)"
991;5700153422;"Higher Education Quarterly";journal;"02639769, 09515224";0,701;Q1;40;25;76;976;94;63;1,20;39,04;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1947-2020";"Education (Q1)"
992;19700187506;"International Journal of Shipping and Transport Logistics";journal;"17566517, 17566525";0,701;Q2;20;37;70;1507;97;70;1,34;40,73;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2010-2020";"Business and International Management (Q1); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)"
993;21100199724;"Qualitiative Research in Sport, Exercise and Health";journal;"21596778, 2159676X";0,701;Q2;30;24;79;1309;163;77;1,40;54,54;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Health (social science) (Q2); Social Psychology (Q2); Sports Science (Q2)"
994;5700161063;"Urban Forum";journal;"10153802";0,701;Q1;33;33;85;1467;128;80;1,33;44,45;Netherlands;Western Europe;"Springer Netherlands";"1990-2020";"Geography, Planning and Development (Q1); Urban Studies (Q1)"
995;5600155022;"Current Issues in Language Planning";journal;"14664208";0,700;Q1;20;30;67;1504;71;63;0,95;50,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
996;5700178973;"International Journal of Bilingualism";journal;"13670069";0,700;Q1;46;46;88;1991;108;82;1,39;43,28;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2020";"Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
997;28336;"Ocean Development and International Law";journal;"00908320, 15210642";0,700;Q1;30;18;60;2138;78;57;1,18;118,78;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2020";"Development (Q1); Law (Q1); Political Science and International Relations (Q1); Management, Monitoring, Policy and Law (Q2)"
998;200147125;"Learning, Media and Technology";journal;"17439892, 17439884";0,699;Q2;42;32;86;971;158;78;1,94;30,34;United Kingdom;Western Europe;"Routledge";"2005-2020";"Media Technology (Q1); Education (Q2)"
999;5700161712;"City and Community";journal;"15356841";0,698;Q1;31;23;61;963;97;56;1,46;41,87;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2020";"Urban Studies (Q1)"
1000;15420;"Electronic Library";journal;"02640473";0,698;Q1;35;60;174;1417;236;174;1,19;23,62;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2020";"Library and Information Sciences (Q1); Computer Science Applications (Q2)"
1001;20324;"Journal of educational administration and history";journal;"14787431, 00220620";0,698;Q1;18;22;64;1091;81;56;1,27;49,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1968-2000, 2010-2020";"Sociology and Political Science (Q1); Education (Q2)"
1002;22965;"Journal of Personal Selling and Sales Management";journal;"15577813, 08853134";0,698;Q2;63;26;87;1851;107;81;1,25;71,19;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Human Factors and Ergonomics (Q2); Management of Technology and Innovation (Q2)"
1003;11600154701;"Police Quarterly";journal;"10986111, 1552745X";0,698;Q1;46;20;59;891;71;57;0,82;44,55;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Law (Q1); Social Sciences (miscellaneous) (Q1)"
1004;15400;"Review of Development Economics";journal;"14679361, 13636669";0,698;Q1;47;53;152;1337;148;149;0,80;25,23;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1997-2020";"Development (Q1); Geography, Planning and Development (Q1)"
1005;5600155020;"Communication Review";journal;"10714421";0,697;Q1;28;18;51;708;106;48;2,66;39,33;United Kingdom;Western Europe;"Routledge";"1995-2001, 2003-2020";"Communication (Q1)"
1006;28898;"Computers and Security";journal;"01674048";0,697;Q1;86;102;205;3850;585;181;2,79;37,75;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Computer Science (miscellaneous) (Q1); Law (Q1)"
