Source title,CiteScore,Highest percentile,2010-13 Citations,2010-13 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Contributions to Mineralogy and Petrology,5.7,"92.0%
8/94
Geophysics",2923,511,76,1.524,2.595,Springer Nature,107999
Ecosystems,5.7,"92.0%
22/282
Ecology",2263,400,79,1.438,1.943,Springer Nature,14329840
Endangered Species Research,5.7,"95.0%
5/106
Nature and Landscape Conservation",1227,215,86,1.158,1.346,Inter-Research Science Publishing,18635407
Genetics Selection Evolution,5.7,"98.0%
4/336
Animal Science and Zoology",984,172,73,1.641,1.878,Springer Nature,0999193X
IMA Fungus,5.7,"90.0%
34/362
Plant Science",227,40,95,1.455,1.146,International Mycological Association,22106340
Journal of Agrarian Change,5.7,"98.0%
3/191
Archeology (arts and humanities)",600,105,72,2.334,2.791,Wiley-Blackwell,14710358
Journal of Experimental Biology,5.7,"98.0%
5/336
Animal Science and Zoology",10936,1916,83,1.298,1.733,The Company of Biologists Ltd.,220949
Journal of Physical Oceanography,5.7,"94.0%
7/109
Oceanography",3599,629,81,1.506,2.642,American Meteorological Society,223670
Mycorrhiza,5.7,"91.0%
33/362
Plant Science",1367,240,85,1.368,1.239,Springer Nature,9406360
"Plant Cell, Tissue and Organ Culture",5.7,"99.0%
1/64
Horticulture",4224,740,86,1.523,0.972,Springer Nature,1676857
Proceedings of the Japan Academy Series B: Physical and Biological Sciences,5.7,"96.0%
4/98
",1015,177,72,1.36,1.299,Nippon Gakushiin/Japan Academy,3862208
Australian Journal of Grape and Wine Research,5.6,"97.0%
2/64
Horticulture",996,179,77,1.773,1.586,Wiley-Blackwell,13227130
Behavior Genetics,5.6,"88.0%
57/504
Ecology, Evolution, Behavior and Systematics",1543,277,79,0.922,1.511,Springer Nature,18244
BioMetals,5.6,"94.0%
8/136
Metals and Alloys",2244,402,76,1.054,0.829,Springer Nature,9660844
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,5.6,"84.0%
16/100
Health, Toxicology and Mutagenesis",2224,399,83,1.273,1.057,Elsevier,15320456
Energy Policy,5.6,"96.0%
8/221
Management, Monitoring, Policy and Law",19374,3433,72,2.168,1.891,Elsevier,3014215
Harmful Algae,5.6,"94.0%
10/188
Aquatic Science",2212,398,83,1.419,1.197,Elsevier,15689883
Integrative and Comparative Biology,5.6,"98.0%
7/336
Animal Science and Zoology",1928,342,87,1.224,1.815,Oxford University Press,15407063
Journal of Agricultural and Food Chemistry,5.6,"90.0%
16/157
General Agricultural and Biological Sciences",36502,6468,79,1.465,1.43,American Chemical Society,218561
Journal of Cleaner Production,5.6,"97.0%
9/288
Industrial and Manufacturing Engineering",7905,1416,81,2.512,1.618,Elsevier,9596526
Journal of Environmental Informatics,5.6,"93.0%
13/183
General Environmental Science",507,90,73,1.46,1.02,International Society for Environmental Information Sciences,17262135
Journal of Hydrometeorology,5.6,"86.0%
13/96
Atmospheric Science",2432,431,78,1.455,2.512,American Meteorological Society,1525755X
Journal of Marine Systems,5.6,"95.0%
9/188
Aquatic Science",2737,485,85,1.455,1.593,Elsevier,9247963
Journal of the Academy of Nutrition and Dietetics,5.6,"95.0%
11/238
Food Science",4920,885,70,1.448,1.631,Elsevier,22122672
Journal of Vegetation Science,5.6,"92.0%
23/282
Ecology",2304,409,89,1.454,1.738,Wiley-Blackwell,11009233
Preslia,5.6,"91.0%
24/282
Ecology",587,105,88,1.612,1.228,Ceska Botanicka Spolecnost/Czech Botanical Society,327786
Advances in Nutrition,5.5,"95.0%
12/238
Food Science",1214,219,79,1.622,1.956,American Society for Nutrition,#N/A
Atmospheric Environment,5.5,"92.0%
15/183
General Environmental Science",17060,3087,78,1.613,1.766,Elsevier,13522310
Atmospheric Measurement Techniques,5.5,"85.0%
14/96
Atmospheric Science",4069,735,76,1.645,2.458,Copernicus,18671381
Chemosphere,5.5,"87.0%
46/366
General Chemistry",19890,3633,76,1.74,1.721,Elsevier,456535
Ecological Complexity,5.5,"88.0%
3/21
Ecological Modeling",1018,186,75,1.627,1.085,Elsevier,1476945X
Environmental and Experimental Botany,5.5,"95.0%
13/291
Agronomy and Crop Science",3188,579,83,1.586,1.09,Elsevier,988472
Environmental Science and Policy,5.5,"97.0%
13/561
Geography, Planning and Development",2534,457,78,1.951,1.687,Elsevier,14629011
Journal of Geophysical Research,5.5,"97.0%
4/131
Forestry",52328,9474,78,1.455,2.366,Wiley-Blackwell,1480227
Paleobiology,5.5,"95.0%
4/86
Paleontology",747,137,80,1.033,1.467,Cambridge University Press,948373
Publications of the Astronomical Society of Australia,5.5,"76.0%
18/76
Space and Planetary Science",965,176,73,0.714,1.579,Cambridge University Press,13233580
Science of the Total Environment,5.5,"92.0%
8/97
Environmental Engineering",17975,3277,79,1.739,1.527,Elsevier,489697
Systematic Entomology,5.5,"96.0%
5/120
Insect Science",1054,191,80,2.228,1.448,Wiley-Blackwell,3076970
Waste Management,5.5,"91.0%
7/76
Waste Management and Disposal",6354,1154,77,2.431,1.815,Elsevier,0956053X
Water Resources Research,5.5,"94.0%
10/182
Water Science and Technology",11275,2043,74,1.795,2.204,Wiley-Blackwell,431397
Zoologica Scripta,5.5,"97.0%
8/336
Animal Science and Zoology",985,178,87,1.581,1.273,Wiley-Blackwell,3003256
Advances in Marine Biology,5.4,"93.0%
12/188
Aquatic Science",205,38,79,3.1,2.29,Elsevier,652881
Biological Invasions,5.4,"90.0%
27/282
Ecology",5298,976,83,1.317,1.567,Springer Nature,13873547
Environmental Impact Assessment Review,5.4,"97.0%
14/561
Geography, Planning and Development",1279,237,80,1.848,1.154,Elsevier,1959255
Environmental Microbiology Reports,5.4,"93.0%
3/40
Agricultural and Biological Sciences (miscellaneous)",2007,370,78,0.92,1.496,Wiley-Blackwell,17582229
Evolution and Development,5.4,"87.0%
66/504
Ecology, Evolution, Behavior and Systematics",1035,192,79,1.003,2.064,Wiley-Blackwell,1520541X
Geotextiles and Geomembranes,5.4,"99.0%
1/162
Geotechnical Engineering and Engineering Geology",1210,226,81,2.818,3.143,Elsevier,2661144
GSA Today,5.4,"94.0%
12/200
Geology",394,73,66,1.558,2.148,Geological Society of America,10525173
Landscape Ecology,5.4,"97.0%
15/561
Geography, Planning and Development",2511,467,78,1.477,1.665,Springer Nature,9212973
Marine Ecology,5.4,"93.0%
13/188
Aquatic Science",1220,227,81,1.148,1.508,Wiley-Blackwell,1739565
Methods in Ecology and Evolution,5.4,"86.0%
69/504
Ecology, Evolution, Behavior and Systematics",1814,338,72,2.433,3.042,Wiley-Blackwell,2041210X
Monthly Weather Review,5.4,"82.0%
17/96
Atmospheric Science",5218,972,80,1.695,3.928,American Meteorological Society,270644
Oecologia,5.4,"86.0%
67/504
Ecology, Evolution, Behavior and Systematics",6868,1277,82,1.411,1.885,Springer Nature,298549
Photosynthesis Research,5.4,"89.0%
40/362
Plant Science",1983,369,70,1.243,1.304,Springer Nature,1668595
"Tellus, Series A: Dynamic Meteorology and Oceanography",5.4,"91.0%
10/109
Oceanography",1180,220,75,1.312,2.099,Taylor & Francis,2806495
Acta Tropica,5.3,"88.0%
7/59
Parasitology",3771,714,75,1.344,1.294,Elsevier,0001706X
Animal Conservation,5.3,"93.0%
7/106
Nature and Landscape Conservation",1395,262,85,1.363,1.643,Wiley-Blackwell,13679430
Climate of the Past,5.3,"93.0%
3/36
Stratigraphy",2337,443,80,1.187,2.265,Copernicus,18149324
Earth Surface Processes and Landforms,5.3,"97.0%
16/561
Geography, Planning and Development",3151,589,86,1.349,1.465,Wiley-Blackwell,1979337
Economic Geology,5.3,"94.0%
2/25
Economic Geology",1669,313,75,1.864,2.232,Economic Geology Publishing Co.,3610128
General and Comparative Endocrinology,5.3,"69.0%
37/119
Endocrinology",6214,1177,75,1.21,1.202,Elsevier,166480
Global and Planetary Change,5.3,"90.0%
11/109
Oceanography",2833,535,79,1.61,1.899,Elsevier,9218181
Global Environmental Politics,5.3,"95.0%
11/221
Management, Monitoring, Policy and Law",570,108,69,1.506,1.63,MIT Press,15263800
Holocene,5.3,"98.0%
4/191
Archeology (arts and humanities)",2679,502,76,1.414,1.864,SAGE,9596836
Journal of Biological Engineering,5.3,"91.0%
9/97
Environmental Engineering",412,78,59,1.054,1.995,Springer Nature,17541611
New Astronomy Reviews,5.3,"73.0%
21/76
Space and Planetary Science",321,61,56,0.782,2.194,Elsevier,13876473
"Palaeogeography, Palaeoclimatology, Palaeoecology",5.3,"93.0%
6/86
Paleontology",7656,1450,82,1.327,1.592,Elsevier,310182
Physics of the Earth and Planetary Interiors,5.3,"88.0%
11/94
Geophysics",2298,435,82,1.297,2.239,Elsevier,
Phytochemistry,5.3,"96.0%
3/64
Horticulture",5584,1050,76,1.633,1.09,Elsevier,319422
Solar Physics,5.3,"75.0%
19/76
Space and Planetary Science",4262,799,80,1.569,1.946,Springer Nature,380938
Systematic and Applied Microbiology,5.3,"86.0%
70/504
Ecology, Evolution, Behavior and Systematics",1554,294,80,1.308,1.42,Elsevier,7232020
Agricultural Water Management,5.2,"95.0%
14/291
Agronomy and Crop Science",4497,866,77,2.17,1.562,Elsevier,3783774
Animal Behaviour,5.2,"97.0%
9/336
Animal Science and Zoology",6748,1304,79,1.281,1.713,Elsevier,33472
Chemical Geology,5.2,"92.0%
15/200
Geology",6297,1215,78,1.639,1.958,Elsevier,92541
Ecology and Society,5.2,"88.0%
33/282
Ecology",3066,587,78,1.676,1.668,The Resilience Alliance,17083087
European Journal of Soil Science,5.2,"92.0%
8/101
Soil Science",1721,329,78,1.555,1.558,Wiley-Blackwell,13510754
Food and Bioprocess Technology,5.2,"96.0%
5/122
Safety, Risk, Reliability and Quality",4776,919,80,1.91,1.234,Springer Nature,19355130
Food and Chemical Toxicology,5.2,"94.0%
13/238
Food Science",13042,2489,75,1.505,1.02,Elsevier,2786915
Geomorphology,5.2,"92.0%
10/125
Earth-Surface Processes",7072,1348,81,1.717,1.479,Elsevier,0169555X
Journal of Plant Physiology,5.2,"95.0%
15/291
Agronomy and Crop Science",4806,930,81,1.205,1.109,Elsevier,1761617
Journal of Regional Science,5.2,"97.0%
2/56
Environmental Science (miscellaneous)",832,160,76,2.158,2.673,Wiley-Blackwell,224146
Marine Geology,5.2,"93.0%
14/200
Geology",3045,586,77,1.368,1.368,Elsevier,253227
Plant and Soil,5.2,"93.0%
7/101
Soil Science",9251,1764,78,1.627,1.388,Springer Nature,0032079X
"Resources, Conservation and Recycling",5.2,"94.0%
31/510
Economics and Econometrics",3128,597,75,2.214,1.424,Elsevier,9213449
Zoological Journal of the Linnean Society,5.2,"97.0%
10/336
Animal Science and Zoology",1815,352,79,1.634,1.351,Oxford University Press,244082
Corporate Social Responsibility and Environmental Management,5.1,"96.0%
7/181
Development",559,110,85,1.822,1.13,Wiley-Blackwell,15353958
Environmental Carcinogenesis and Ecotoxicology Reviews,5.1,"83.0%
17/100
Health, Toxicology and Mutagenesis",243,48,75,1.192,0.738,Taylor & Francis,10590501
Functional Plant Biology,5.1,"94.0%
16/291
Agronomy and Crop Science",2193,427,81,1.252,1.214,CSIRO,14454408
Journal of Apicultural Research,5.1,"95.0%
6/120
Insect Science",902,177,62,1.084,0.886,Taylor & Francis,218839
Journal of Geodynamics,5.1,"90.0%
12/125
Earth-Surface Processes",1582,309,78,1.52,1.709,Elsevier,2643707
Journal of Hydrology,5.1,"93.0%
12/182
Water Science and Technology",11550,2254,74,1.967,1.714,Elsevier,221694
Journal of the Geological Society,5.1,"92.0%
16/200
Geology",1759,342,80,1.219,1.77,Geological Society,167649
Journals of the Atmospheric Sciences,5.1,"79.0%
20/96
Atmospheric Science",4552,897,79,1.474,3.377,American Meteorological Society,224928
Ocean Modelling,5.1,"99.0%
2/162
Geotechnical Engineering and Engineering Geology",1812,352,76,1.455,1.988,Elsevier,14635003
Sedimentology,5.1,"91.0%
17/200
Geology",1630,317,89,1.516,1.582,Wiley-Blackwell,370746
Aerosol Science and Technology,5,"89.0%
45/420
General Materials Science",2443,491,78,1.523,1.591,Taylor & Francis,2786826
Agricultural Systems,5,"96.0%
12/336
Animal Science and Zoology",1550,309,74,1.614,1.436,Elsevier,0308521X
Behavioral Ecology and Sociobiology,5,"96.0%
11/336
Animal Science and Zoology",3770,747,80,1.299,1.686,Springer Nature,3405443
BioControl,5,"94.0%
7/120
Insect Science",1507,299,75,1.665,1.222,Springer Nature,13866141
Coral Reefs,5,"92.0%
14/188
Aquatic Science",2513,498,77,1.075,1.638,Springer Nature,7224028
Deep-Sea Research Part I: Oceanographic Research Papers,5,"92.0%
15/188
Aquatic Science",2381,473,79,1.31,2.048,Elsevier,9670637
Ecological Indicators,5,"88.0%
34/282
Ecology",5282,1061,79,1.831,1.347,Elsevier,1470160X
Food Quality and Preference,5,"93.0%
16/238
Food Science",2376,474,80,1.706,1.218,Elsevier,9503293
Food Research International,5,"93.0%
15/238
Food Science",9400,1873,73,1.798,1.526,Elsevier,9639969
Forest Ecology and Management,5,"96.0%
5/131
Forestry",10581,2109,74,1.739,1.78,Elsevier,3781127
Geostandards and Geoanalytical Research,5,"91.0%
18/200
Geology",579,115,83,1.505,1.231,Wiley-Blackwell,16394488
International Journal of Life Cycle Assessment,5,"91.0%
16/183
General Environmental Science",2203,437,76,1.977,1.672,Springer Nature,9483349
Journal of Exposure Science and Environmental Epidemiology,5,"91.0%
39/438
Public Health, Environmental and Occupational Health",1516,301,80,1.143,1.282,Springer Nature,15590631
Journal of Glaciology,5,"90.0%
13/125
Earth-Surface Processes",2081,417,78,1.135,2.284,Cambridge University Press,221430
Journal of Systematic Palaeontology,5,"91.0%
8/86
Paleontology",577,115,84,1.521,1.508,Taylor & Francis,14772019
Landscape and Urban Planning,5,"93.0%
14/221
Management, Monitoring, Policy and Law",3140,634,80,2.009,1.329,Elsevier,1692046
Protoplasma,5,"87.0%
45/362
Plant Science",2123,424,79,1.112,1.351,Springer Nature,0033183X
Advances in Water Resources,4.9,"92.0%
14/182
Water Science and Technology",3063,628,79,1.747,1.432,Elsevier,3091708
Applied Clay Science,4.9,"90.0%
19/200
Geology",5277,1080,73,1.94,1.114,Elsevier,1691317
Boreas,4.9,"97.0%
5/191
Archeology (arts and humanities)",1035,212,84,1.078,1.52,Wiley-Blackwell,3009483
Cell Biology and Toxicology,4.9,"81.0%
19/100
Health, Toxicology and Mutagenesis",696,142,75,0.852,0.699,Springer Nature,7422091
Ecological Engineering,4.9,"92.0%
17/221
Management, Monitoring, Policy and Law",5741,1179,74,2.052,1.231,Elsevier,9258574
Ecotoxicology,4.9,"93.0%
15/221
Management, Monitoring, Policy and Law",3567,724,79,1.083,1.336,Springer Nature,9639292
Environmental Health: A Global Access Science Source,4.9,"90.0%
41/438
Public Health, Environmental and Occupational Health",2112,431,74,1.487,1.225,Springer Nature,1476069X
Environmental Toxicology and Chemistry,4.9,"79.0%
19/92
Environmental Chemistry",6668,1368,78,1.082,1.656,Wiley-Blackwell,7307268
Freshwater Science,4.9,"91.0%
16/188
Aquatic Science",1857,379,75,1.379,1.063,University of Chicago Press,21619549
Hydrology and Earth System Sciences,4.9,"93.0%
13/182
Water Science and Technology",5333,1084,75,1.51,1.872,Copernicus,10275606
Innovative Food Science and Emerging Technologies,4.9,"94.0%
17/288
Industrial and Manufacturing Engineering",2118,435,73,1.66,1.374,Elsevier,14668564
ISPRS Journal of Photogrammetry and Remote Sensing,4.9,"96.0%
18/561
Geography, Planning and Development",1874,381,71,2.925,2.314,Elsevier,9242716
Journal of Insect Physiology,4.9,"93.0%
8/120
Insect Science",4027,819,82,1.03,1.255,Elsevier,221910
Journal of Invertebrate Pathology,4.9,"85.0%
76/504
Ecology, Evolution, Behavior and Systematics",2842,575,75,1.38,1.156,Elsevier,222011
Landslides,4.9,"98.0%
3/162
Geotechnical Engineering and Engineering Geology",957,196,72,1.872,1.763,Springer Nature,1612510X
Meat Science,4.9,"92.0%
17/238
Food Science",6222,1278,76,1.852,1.512,Elsevier,3091740
Phytopathology,4.9,"93.0%
19/291
Agronomy and Crop Science",2776,569,78,1.618,1.217,American Phytopathological Society,0031949X
Population and Environment,4.9,"96.0%
3/69
Demography",451,92,80,1.537,1.234,Springer Nature,1990039
Terra Nova,4.9,"90.0%
20/200
Geology",1138,233,74,1.162,1.551,Wiley-Blackwell,9544879
Bioenergy Research,4.8,"95.0%
1/11
Energy (miscellaneous)",1306,271,70,1.397,1.182,Springer Nature,19391234
Coastal Engineering,4.8,"99.0%
1/88
Ocean Engineering",1885,389,80,2.205,1.654,Elsevier,3783839
Environmental Chemistry,4.8,"92.0%
2/21
Chemistry (miscellaneous)",1056,220,79,0.87,1.341,CSIRO,14482517
Frontiers in Zoology,4.8,"96.0%
13/336
Animal Science and Zoology",842,174,62,1.462,1.572,Springer Nature,17429994
Fungal Ecology,4.8,"87.0%
47/362
Plant Science",1146,237,76,1.126,1.234,Elsevier,17545048
"Geochemistry, Geophysics, Geosystems",4.8,"84.0%
15/94
Geophysics",4828,1014,75,1.225,2.551,Wiley-Blackwell,15252027
Geophysical Journal International,4.8,"86.0%
13/94
Geophysics",8872,1849,73,1.669,2.376,Oxford University Press,0956540X
Integrated Environmental Assessment and Management,4.8,"96.0%
20/561
Geography, Planning and Development",1207,253,77,1.371,1.855,Wiley-Blackwell,15513777
Journal of Food Composition and Analysis,4.8,"91.0%
20/238
Food Science",2316,485,76,1.673,1.252,Elsevier,8891575
Journal of Food Engineering,4.8,"92.0%
19/238
Food Science",7987,1670,77,1.879,1.348,Elsevier,2608774
Journal of Plankton Research,4.8,"91.0%
17/188
Aquatic Science",2353,488,78,1.099,1.292,Oxford University Press,1427873
Marine and Petroleum Geology,4.8,"90.0%
3/25
Economic Geology",2883,601,75,1.67,1.17,Elsevier,2648172
Organic Geochemistry,4.8,"82.0%
19/103
Geochemistry and Petrology",2684,554,76,1.481,1.326,Elsevier,1466380
Pest Management Science,4.8,"93.0%
20/291
Agronomy and Crop Science",3663,758,80,1.571,1.267,Wiley-Blackwell,1526498X
Phytochemical Analysis,4.8,"95.0%
4/84
Complementary and Alternative Medicine",1556,326,79,1.278,0.955,Wiley-Blackwell,9580344
Plant Cell Reports,4.8,"92.0%
22/291
Agronomy and Crop Science",3204,668,82,1.265,1.081,Springer Nature,7217714
Ambio,4.7,"96.0%
22/561
Geography, Planning and Development",1817,390,80,1.304,1.22,Springer Nature,447447
Biodiversity and Conservation,4.7,"90.0%
11/106
Nature and Landscape Conservation",3967,840,77,1.286,1.182,Springer Nature,9603115
"Computers, Environment and Urban Systems",4.7,"98.0%
2/113
Urban Studies",990,212,71,2.265,1.082,Elsevier,1989715
"Earth, Planets and Space",4.7,"88.0%
23/200
Geology",2521,537,64,1.209,2.063,Springer Nature,13438832
Environmental Research Letters,4.7,"89.0%
46/438
Public Health, Environmental and Occupational Health",3860,830,67,1.677,2.304,Institute of Physics Publishing,17489326
European Journal of Agronomy,4.7,"91.0%
24/291
Agronomy and Crop Science",1445,310,69,1.871,1.415,Elsevier,11610301
Geoderma,4.7,"90.0%
10/101
Soil Science",5094,1082,77,1.8,1.501,Elsevier,167061
Hydrological Processes,4.7,"92.0%
15/182
Water Science and Technology",6079,1301,81,1.414,1.503,Wiley-Blackwell,8856087
"Infection, Genetics and Evolution",4.7,"83.0%
82/504
Ecology, Evolution, Behavior and Systematics",5002,1057,73,1.182,1.563,Elsevier,15671348
Journal of Agronomy and Crop Science,4.7,"92.0%
23/291
Agronomy and Crop Science",866,183,79,1.718,1.115,Wiley-Blackwell,9312250
Journal of Contaminant Hydrology,4.7,"91.0%
16/182
Water Science and Technology",1711,367,71,1.452,1.51,Elsevier,1697722
Journal of Industrial Ecology,4.7,"96.0%
7/181
General Social Sciences",1412,302,77,1.399,1.156,Wiley-Blackwell,10881980
LWT - Food Science and Technology,4.7,"90.0%
23/238
Food Science",5738,1231,75,1.803,1.377,Elsevier,236438
Plant Biology,4.7,"86.0%
51/362
Plant Science",2397,507,83,1.104,0.976,Wiley-Blackwell,14358603
Plant Foods for Human Nutrition,4.7,"90.0%
22/238
Food Science",1155,245,76,1.532,1.15,Springer Nature,9219668
Tectonophysics,4.7,"89.0%
14/125
Earth-Surface Processes",6375,1348,76,1.563,1.895,Elsevier,401951
Animal Cognition,4.6,"82.0%
88/504
Ecology, Evolution, Behavior and Systematics",1631,356,81,1.135,1.371,Springer Nature,14359448
Biology and Fertility of Soils,4.6,"91.0%
25/291
Agronomy and Crop Science",1862,405,77,1.633,1.482,Springer Nature,1782762
Bulletin of Volcanology,4.6,"77.0%
24/103
Geochemistry and Petrology",1966,427,76,1.272,1.852,Springer Nature,2588900
Conservation Genetics,4.6,"82.0%
89/504
Ecology, Evolution, Behavior and Systematics",2879,630,80,0.976,0.875,Springer Nature,15660621
Ecosphere,4.6,"85.0%
41/282
Ecology",743,160,75,1.453,2.088,Wiley-Blackwell,
Environmental Conservation,4.6,"91.0%
20/221
Management, Monitoring, Policy and Law",738,162,79,1.26,1.234,Cambridge University Press,3768929
Field Crops Research,4.6,"91.0%
26/291
Agronomy and Crop Science",4095,891,77,1.822,1.378,Elsevier,3784290
Fish and Shellfish Immunology,4.6,"90.0%
18/188
Aquatic Science",6196,1348,74,1.133,0.997,Elsevier,10504648
ICES Journal of Marine Science,4.6,"90.0%
19/188
Aquatic Science",3473,763,79,1.19,1.615,Oxford University Press,10543139
Journal of Chemical Ecology,4.6,"83.0%
86/504
Ecology, Evolution, Behavior and Systematics",2819,609,78,1.196,1.185,Springer Nature,980331
Journal of Environmental Quality,4.6,"92.0%
18/221
Management, Monitoring, Policy and Law",3852,831,76,1.266,1.325,"American Society of Agronomy, Inc.",472425
Journal of Theoretical Biology,4.6,"93.0%
11/172
Statistics and Probability",7735,1677,76,1.029,1.044,Elsevier,225193
Journal of Volcanology and Geothermal Research,4.6,"82.0%
17/94
Geophysics",3639,792,77,1.289,1.643,Elsevier,3770273
Land Use Policy,4.6,"95.0%
24/561
Geography, Planning and Development",2742,599,71,2.389,1.496,Elsevier,2648377
Medical and Veterinary Entomology,4.6,"97.0%
4/144
General Veterinary",1039,226,84,1.299,1.201,Wiley-Blackwell,0269283X
Oceanography,4.6,"84.0%
17/109
Oceanography",1381,299,73,1.015,1.569,Oceanography Society,10428275
Parasitology,4.6,"95.0%
14/336
Animal Science and Zoology",3318,728,78,0.902,1.157,Cambridge University Press,311820
Reviews in Environmental Science and Biotechnology,4.6,"87.0%
13/97
Environmental Engineering",486,106,68,1.69,0.905,Springer Nature,15691705
AICHE Journal,4.5,"89.0%
30/270
General Chemical Engineering",5998,1343,75,1.386,1.053,Wiley-Blackwell,11541
American Journal of Botany,4.5,"85.0%
53/362
Plant Science",4887,1084,73,1.139,1.261,Wiley-Blackwell,29122
Animal Genetics,4.5,"95.0%
16/336
Animal Science and Zoology",2110,468,81,1.132,1.018,Wiley-Blackwell,2689146
Annals of the American Association of Geographers,4.5,"95.0%
26/561
Geography, Planning and Development",1429,318,76,1.694,1.655,Taylor & Francis,24694452
Antipode,4.5,"95.0%
25/561
Geography, Planning and Development",1283,284,77,2.026,2.545,Wiley-Blackwell,664812
Astrobiology,4.5,"91.0%
4/40
Agricultural and Biological Sciences (miscellaneous)",1622,357,77,0.915,1.085,Mary Ann Liebert,15311074
Basic and Applied Ecology,4.5,"82.0%
91/504
Ecology, Evolution, Behavior and Systematics",1373,303,73,1.125,1.685,Elsevier,14391791
Biochemical Engineering Journal,4.5,"85.0%
15/97
Environmental Engineering",3553,784,71,1.32,1.074,Elsevier,1369703X
Biodegradation,4.5,"84.0%
16/97
Environmental Engineering",1545,342,82,1.406,1.105,Springer Nature,9239820
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,4.5,"61.0%
64/163
Physiology",682,152,78,0.743,0.84,Elsevier,1744117X
Computers and Electronics in Agriculture,4.5,"95.0%
15/336
Animal Science and Zoology",3001,661,70,2.356,0.95,Elsevier,1681699
Drug Testing and Analysis,4.5,"83.0%
30/179
Pharmaceutical Science",1858,412,76,1.068,0.957,Wiley-Blackwell,19427603
Environmental Toxicology,4.5,"89.0%
23/221
Management, Monitoring, Policy and Law",1337,295,86,0.938,0.778,Wiley-Blackwell,15204081
Estuaries and Coasts,4.5,"88.0%
23/188
Aquatic Science",1926,431,76,1.412,1.316,Springer Nature,15592723
EvoDevo,4.5,"81.0%
94/504
Ecology, Evolution, Behavior and Systematics",418,93,74,0.785,2.658,Springer Nature,20419139
Food Control,4.5,"90.0%
24/238
Food Science",7252,1622,76,1.724,1.278,Elsevier,9567135
Journal of Aerosol Science,4.5,"88.0%
50/420
General Materials Science",1723,383,72,1.836,1.187,Elsevier,218502
Journal of Anatomy,4.5,"81.0%
95/504
Ecology, Evolution, Behavior and Systematics",2144,478,76,1.068,1.183,Wiley-Blackwell,218782
Journal of Environmental Management,4.5,"90.0%
22/221
Management, Monitoring, Policy and Law",8070,1780,66,1.99,1.203,Elsevier,3014797
Journal of Geology,4.5,"88.0%
24/200
Geology",689,152,74,1.061,1.597,University of Chicago Press,221376
Marine Ecology - Progress Series,4.5,"88.0%
22/188
Aquatic Science",9791,2188,79,1.149,1.629,Inter-Research Science Publishing,1718630
Marine Policy,4.5,"98.0%
7/448
Law",2846,626,82,1.594,1.49,Elsevier,0308597X
Mutation Research - Genetic Toxicology and Environmental Mutagenesis,4.5,"77.0%
23/100
Health, Toxicology and Mutagenesis",2915,641,73,1.044,0.86,Elsevier,13835718
Postharvest Biology and Technology,4.5,"92.0%
5/64
Horticulture",3021,677,72,2.529,1.58,Elsevier,9255214
Quaternary Research,4.5,"94.0%
9/167
General Earth and Planetary Sciences",1871,420,77,1.159,1.433,Cambridge University Press,335894
Restoration Ecology,4.5,"87.0%
14/106
Nature and Landscape Conservation",2099,464,79,1.23,1.28,Wiley-Blackwell,10612971
Reviews in Fish Biology and Fisheries,4.5,"89.0%
21/188
Aquatic Science",793,177,80,1.596,1.141,Springer Nature,9603166
Transgenic Research,4.5,"95.0%
17/336
Animal Science and Zoology",1890,423,76,0.875,0.891,Springer Nature,9628819
Applied Geography,4.4,"95.0%
27/561
Geography, Planning and Development",2620,591,74,1.887,1.311,Elsevier,1436228
Arthropod Structure and Development,4.4,"91.0%
11/120
Insect Science",808,184,73,1.196,1.396,Elsevier,14678039
Environmental Reviews,4.4,"88.0%
22/183
General Environmental Science",347,78,85,1.425,0.967,NRC Research Press,11818700
Evolutionary Ecology,4.4,"80.0%
99/504
Ecology, Evolution, Behavior and Systematics",1725,392,81,0.761,1.154,Springer Nature,2697653
Geofluids,4.4,"93.0%
11/167
General Earth and Planetary Sciences",577,132,70,1.531,1.32,Hindawi,14688115
Geothermics,4.4,"97.0%
4/162
Geotechnical Engineering and Engineering Geology",530,120,73,2.516,1.781,Elsevier,3756505
International Dairy Journal,4.4,"88.0%
27/238
Food Science",2200,504,76,1.387,1.239,Elsevier,9586946
Journal of Advances in Modeling Earth Systems,4.4,"94.0%
10/167
General Earth and Planetary Sciences",257,58,72,1.097,3.142,Wiley-Blackwell,19422466
Journal of Chemical Technology and Biotechnology,4.4,"88.0%
9/77
Fuel Technology",3935,885,75,1.203,1.028,Wiley-Blackwell,2682575
"Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology",4.4,"94.0%
18/336
Animal Science and Zoology",1700,386,82,1.02,1.052,Springer Nature,1741578
Journal of Paleolimnology,4.4,"87.0%
24/188
Aquatic Science",1749,395,81,0.934,1.315,Springer Nature,9212728
Journal of Phycology,4.4,"86.0%
26/188
Aquatic Science",2235,509,80,1.116,1.182,Wiley-Blackwell,223646
Journal of Sensory Studies,4.4,"89.0%
26/238
Food Science",934,211,78,1.249,1.14,Wiley-Blackwell,8878250
Journal of Structural Geology,4.4,"87.0%
26/200
Geology",2404,549,80,1.318,1.857,Elsevier,1918141
